FGTID,Name,Procedure Examples,Mitigations,Pre-Conditions,Critical Assets,Detection,Post-Conditions,References
T1498.502,Shared_Slice_Resource_exhaustion,N,Y,N,Y,Y,N,Y
FGT5018.002,Radio_access_hardware,Y,Y,Y,Y,Y,Y,Y
FGT5006.002,DNS_Encapsulation,Y,Y,Y,Y,Y,Y,Y
FGT5025,Falsify_interconnect_invoice,Y,Y,N,Y,Y,N,Y
T1020.001,Network_traffic_duplication,N,Y,N,Y,Y,N,Y
FGT5020,Retrieve_UE_subscription_data,Y,Y,Y,Y,Y,N,Y
T1499.503,DOS_a_UE_via_gNB_or_NF_signaling,Y,Y,Y,Y,Y,N,Y
T1018,Core-network_scanning,Y,Y,Y,Y,Y,Y,Y
T1040,Network_Elements,Y,Y,N,Y,Y,N,Y
T1195,Supply_Chain_Compromise,N,Y,N,Y,Y,N,Y
FGT5032,gNodeB_Component_Manipulation,N,N,N,Y,N,N,N
T1499.501,Consume_data_allocation_to_deny_or_degrade_service,Y,Y,Y,Y,Y,Y,Y
T1583.502,Programmable_UE_devices,Y,N,N,N,N,N,Y
FGT5004.001,Controller,N,Y,Y,Y,Y,Y,Y
T1439,Lawful_Intercept_Abuse,N,Y,N,Y,Y,N,Y
T1048.003,DNS_Queries,N,Y,Y,Y,Y,N,Y
T1557.502,Roaming_and_Interconnection,N,Y,Y,Y,Y,N,Y
FGT5016,Abuse_of_Inter-operator_Interfaces,Y,Y,Y,Y,Y,N,Y
T1046,Core-network_scanning,Y,Y,Y,Y,Y,Y,Y
T1609.501,Accessing_Terminated_VNF,Y,Y,N,Y,N,N,Y
T1072,5G_Orchestration_and_Deployment_Tools,Y,Y,N,Y,Y,N,Y
T1525,Compromised_image,N,Y,Y,Y,Y,Y,Y
T1600.501,Radio_interface,Y,Y,Y,Y,Y,Y,Y
FGT5014,Shared_resource_discovery,Y,Y,N,Y,Y,N,Y
FGT5004.002,vSwitch,N,Y,Y,Y,Y,Y,Y
FGT5012.004,Core_network_function_signaling,Y,Y,Y,Y,N,N,Y
FGT5019,Identify_UE,N,N,N,N,N,N,N
T1583,Access_to_Cloud_Infra_or_MEC,Y,Y,N,N,N,N,Y
T1611,VM_and_Container_Breakout,Y,Y,N,Y,Y,N,Y
T1557.503,Non-SBI,Y,Y,Y,Y,Y,Y,Y
FGT5024,SIM_boxing,Y,Y,Y,Y,Y,N,Y
T1078.004,Container_Management-_Unbounded_admin_access,N,Y,N,Y,Y,N,Y
T1195.502,Compromise_Service_Supply_Chain,N,N,N,Y,N,N,Y
FGT5015,Device_database_manipulation,Y,Y,N,Y,Y,N,Y
FGT5012.006,NAS_exploit,Y,N,Y,Y,Y,N,Y
FGT5026,SIM_cloning,Y,Y,Y,Y,Y,Y,Y
T1499,Interworking_Denial_of_Service,Y,Y,Y,Y,Y,N,Y
T1195.501,SIM_credential_theft,Y,Y,N,Y,N,N,Y
T1048,Control_plane_signaling_exfiltration,Y,Y,N,Y,Y,N,Y
FGT5022,Alter_Subscriber_Profile,Y,Y,N,Y,Y,N,Y
FGT5012.001,Passive_radio_signals_observation,Y,Y,Y,Y,N,Y,Y
T1557.504,Service_Based_Interface,Y,Y,N,Y,N,N,Y
T1555.501,Hardware_Security_Module_Key_Signing,Y,Y,Y,Y,Y,Y,Y
FGT5009.002,Network_Interfaces,Y,Y,Y,Y,Y,Y,Y
FGT5012.005,Shared_network_function_in_slice,Y,Y,Y,Y,Y,Y,Y
FGT5032.002,X-App,N,N,N,Y,N,N,Y
T1014,Unauthorized_software_in_NFVI,N,Y,N,Y,Y,N,Y
FGT5006.001,Layer_2_Redirection_of_Encrypted_DNS,Y,Y,Y,Y,Y,Y,Y
T1078.003,Infrastructure_local_account,N,Y,N,Y,Y,N,Y
T1599.504,Manipulate_Virtual_Network_Function_(VNF)_Configuration,Y,Y,Y,Y,Y,Y,Y
FGT5012,Locate_UE,Y,N,N,Y,N,N,Y
FGT5018.004,Theft_of_assets,Y,Y,Y,Y,Y,Y,Y
FGT5018.001,Cabling_and_junction_boxes,Y,Y,Y,Y,Y,Y,Y
T1542.501,Unauthorized_software_in_NFVI,N,Y,N,Y,Y,N,Y
FGT5008,Redirection_of_traffic_via_user_plane_network_function,Y,Y,Y,Y,Y,Y,Y
T1498.501,Flooding_core_network_component,Y,Y,N,Y,Y,Y,Y
FGT5029,Exploit_Semi-public_Facing_Application,N,Y,Y,Y,Y,N,Y
T1199.501,MNO_Roaming_Partners,Y,Y,Y,Y,Y,N,Y
FGT5013,Malicious_VNF_Instantiation,Y,Y,N,Y,Y,N,Y
FGT5012.003,5G-GUTI_reuse,Y,Y,N,Y,N,N,Y
T1565.002,Network_Interfaces,Y,Y,Y,Y,Y,Y,Y
FGT5032.003,rApps,N,N,N,Y,N,N,Y
FGT5006.003,DNS_Poisoning,Y,Y,Y,Y,Y,Y,Y
FGT5004,Network_Flow_Manipulation,N,Y,Y,Y,Y,Y,Y
