T1499.501,Consume data allocation to deny or degrade service,Sustained degraded communication until additional data is purchased.,Sustained degraded communication until additional data is purchased.
FGT5003,Network Function Service Discovery,Unauthorized probing of network services,Information of what other services are provided by a given MNO
T1599.504,Manipulate Virtual Network Function (VNF) Configuration,Unexpected and unusual VNF behavior,VNF compromise can lead to DOS or change in the traffic pattern and paths.
FGT5009,Weaken Integrity,Subscriber data session impact,"Subscriber data session does not get setup (DoS attack) or gets interrupted, spoofed or redirected during an active session."
FGT5019.003,Obtain subscriber identifier by NF,SUPI is available to the adversary,"If SUPI is obtained, many other subsequent attacks are possible such as subscriber identity spoofing and location tracking."
T1555.501,Hardware Security Module Key Signing,Adversary is able to perform crypto operations fraudulenty.,Adversary would have the ability to perform signing and cryptographic operations that would permit the adversary to masquerade as a legitimate authorized user and perform operations against NFs.
T1498.501,Flooding core network component,AMF service will not be available to legitimate users during attack.,"If AMF services are down, all services for the existing UEs which use NAS layer will not be available. For example: mobility, session management (QoS etc.), PDU session set up / tear down, SMS over NAS, location management. [Section 8.2.2.1 of [2]"
FGT5028,Discover network slice identifier,Unauthorized disclosure of SD/NSSAI,Now the adversary knows the SD of a given slice it is not authorized to contact.
FGT5012.002,Self Location Measurement,Subsequent attack,"Geolocation can make electronic attack for degradation of service more effective, bidding down to defeat ID and traffic confidentiality more effective, and can expose subscriber to physical attack."
FGT5019.002,Intercept Bid-Down IMSI,Target association,"Allows an adversary to identify UE as target of interest for geolocation, degradation of service, loss of traffic confidentiality, or physical attack."
T1499.002,UDM DOS via SUCI replay,Less or no service for legitimate UEs,Legitimate UEs have low or zero probability of successfully requesting access
T1046,Core-network scanning,Identifier of some network nodes revealed,"Adversary now knows identifiers of some network nodes, and so these nodes can now be spoofed or targeted for Denial of Service."
FGT5009.002,Network Interfaces,UE at risk of data manipulation,UE signaling with network and user plane data may be impacted. This can be used to cause DoS attack.
FGT5009.002,Network Interfaces,Network signaling at risk of data manipulation,Network communication within core network or on the non-SBI interfaces or on roaming interface may be impacted.
T1600.501,Radio interface,UE data unprotected on air interface,"Control Plane: All UE signaling data may be revealed if both NAS and AS CP (RRC) algorithms are weakened.

User Plane: Subscriber (user plane) data may be revealed if AS UP algorithms are weakened."
FGT5026,SIM cloning,Access to user credentials,"With the cloned SIM card, adversary now has access to the victim’s permanent identifier (SUPI or IMSI) and master subscriber key Ki. Those can be used for unauthorized access to 5G network."
T1499.502,Trigger Fraud Alert to Deny Service,Sustained denial of service,Denial of service continues until service provider is convinced there is no fraud.
T1599,Network Boundary Bridging,Unusual network traffic flows,"If network boundaries are breached, monitoring system may detect unusual network flow"
