T1555.501,Hardware Security Module Key Signing,Credential compromise - theoretical,An adversary would compromise a function or service that has privileges to perform operations using the HSM and use other techniques to obtain the credentials. The adversary may perform operations from the compromised environment or exfiltrate the credentials to another system to perform the operations and conduct further activities.
FGT5019,Identify UE,Depends on sub-technique,
FGT5029,Exploit Semi-public Facing Application or System,None,
FGT5012,Locate UE,"Adversary may use the radio access network to determine that a particular UE is in the area, or where exactly the UE is located",Multiple subtechniques exist
FGT5012,Locate UE,Adversary may use the core network signaling to trigger the procedure of locating a particular UE via RAN,Multiple subtechniques exist
T1040,Non-SBI,None,
T1499.501,Consume data allocation to deny or degrade service,Malicious data consumption application,Convince user to download or maliciously introduce application that consumes excessive data
FGT5019.003,Obtain subscriber identifier by NF,External AF uses legitimate SBA API to retrieve subscriber identifier of victim UE (SUPI) from their phone number,AF calls Nnef_ApplyPolicy_Create API to NEF with UE's GPSI/phone number. NEF retrieves the SUPI from UDM by using Nudm_SDM_Get API. NEF stores the data in UDR and sends the requested data to AF. Section 4.15.6.8 of [1].
FGT5019.003,Obtain subscriber identifier by NF,Rogue NEF retrieves SUPI from GPSI/phone number using Nudm_SDM_Get API,Section 4.13.2.2 of [1].
FGT5019.003,Obtain subscriber identifier by NF,Rogue AMF in visited PLMN retrieves UE’s sensitive information using Nsmf_PDUSession_ContextRequest API during 5GS to EPC roaming.,"AMF in visited PLMN calls Nsmf_PDUSession_ContextRequest API to v/hSMF. SMF sends the UE SM context in response which can reveal the following UE information: SUPI, S-NSSAI, DNN, UE IP address etc. Section 4.11.1.2.1 & Table 5.2.8.2.10-1 of [1])"
T1498.501,Flooding core network component,"Control plane signaling storm from (at least) one malicious UE (source: experience of employee of large MNO, and who was responsible for threat handling).","Because network slices and network functions can be shared, malicious UE can create control plane storms.

AMF Message Flooding for a shared slice with shared NFs:
(1) An initial AMF validates if the user (UE) is allowed to access the subscribed S-NSSAI: AMF contacts the UDM to request the UE’s Slice Selection Subscription data.  The initial UDM may contact the UDR for the UE's Slice Selection Subscription data, then provides the data to the AMF.
(2) During the t0 to t-delta time interval that it takes to perform (1), the UE drops the initial AMF then re-attaches to the AMF, restarting the validation.
(3) The UE recursively performs (2), which recursively performs (1), creating a ""UE-AMF-UDM-UDR-AMF"" message storm sandwiched in between an ""Attach-Detach"" storm.
(4) Since this is a shared slice with shared NFs, the control plane storm (Attach-UE-AMF-UDM-UDR-AMF-Detach-Attach-recursively repeat) creates a DoS condition."
FGT5022,Alteration of subscriber  profile charging parameters,AMF/SMF can use Nudm_UECM_Update to modify UE context in the UDM.,"AMF or SMF can change some parameters in the UE context (which is like a subscriber profile, but valid only for a session; Section 5.2.3.2.5 of 23.502. The parameters are: PEI, analyticsID (for NWDAF), UE capabilities, Intersystem continuity context, SMF+PGW-C FQDN"
FGT5022,Alteration of subscriber  profile charging parameters,"Rogue AF/NEF via UDM can modify UE’s config for a given external service (e.g. pay for video for a game today). When the victim UE changes state from idle mode to connected mode, it will receive the modified services which may be inferior to the services originally provisioned.","NEF can use Nudm_ParameterProvision update service to update UE subscription data. Section 5.6.2.2 of TS29.503 & sections 4.15.6.2, 4.15.6.3, 4.15.6.3a of TS23.502."
FGT5022,Alteration of subscriber  profile charging parameters,Compromised OA&M can modify subscriber profile data in UDR,Compromised GUI or CLI based attack on subscriber database in UDR
FGT5028,Discover network slice identifier,"Assuming control of a network function, ask the NRF for a SD until a legitimate response is received (vs. an error).","Any “consumer NF” can ask the NRF for information with a guessed slice identifier, until a non-error response is returned. The NRF services that are candidates for this operation are (3GPP TS 29.510: discovery and Access token (Nnrf_NFDiscovery and Nnrf_AccessToken). For the Discovery service, in the GET NF instances, the parameters can be included “plmn-specific-snssai-list”, which contains the S-NSSAIs that are served by the NF supposedly being discovered. Then the 200OK result contains the IE NFProfile, which includes the S-NSSAIs."
FGT5012.002,Self Location Measurement,Self-location measurement,"Victim UE is using a system with null encryption oris bid down to a less secure protocol. UE geolocation or geolocation measurement data is passively observed or, if bid down, actively ordered through illegitimate signaling."
FGT5035.001,DOS a UE via fake cellular base station,Bidding Down induced DOS,"Victim UE is either actively or passive bid down to less secure protocol. Adversary acts as a man-in-the middle to deny service by (1) issuing registration reject messages or other orders to deny radio access, or (2) posing as a legitimate base station, but not relaying traffic to or from the intended recipient."
FGT5019.002,Intercept Bid-Down IMSI,Adversary with rogue base station bids-down UE and sends an Identity Request message to get back the IMSI,"When UE security profile allows bidding down, adversary denies service to 5G, bids down victim UE to less secure protocol, and then actively interrogates or passively intercepts unencrypted International Mobile Subscriber Identifier (IMSI)  for 2G/3G/4G or Media Access Control (MAC) for WiFi."
T1499.002,UDM DOS via SUCI replay,SUCI is replayed by rogue UE or gNB to the network,UDM needs to process repeated SUCI messages from the same UE which will eventually drain resources of UDM and cause DoS attack on legitimate UE. Sections 5.2.2.1.2 & 5.2.2.2.2 of [1]
T1046,Core-network scanning,"Tools exist for pen testing. Examples GTScan, SigPloit, SCTPScan and GTPScan.",
T1600.501,Radio interface,AMF exploit for weakening encryption of user traffic over the air interface,"Adversary takes over the AMF and enables NULL encryption for NAS and AS for all UEs; or, changes one Security Mode Command procedure for a given UE to enable NULL encryption or NULL integrity. This can be followed by another attack behavior whereby eavesdropping can be done over the air interface for data and signaling. Sections 5.3.2 & 5.5.1 of [2]"
T1600.501,Radio interface,SMF misconfiguration exploitation via adversary controlled gNB or via SMF control directly.,"Adversary makes the unauthorized change in the SMF CP & UP local policy to enable NULL encryption for CP & UP traffic. The SMF is not implemented to check (for every UE) that the local policy is the same as the UE policy stored in the UDM, and so the SMF lets the CP & UP traffic over the radio interface be protected via NULL encryption.
Alternatively, an attacker with control over a legitimate gNB, and who currently serves the UE, tells the SMF that the UE CP & UP policy is NULL encryption, and the (legit but not correctly implemented) SMF doesn’t check that against the local policy and lets the CP & UP data use NULL encryption.
These can be followed by another attack behavior whereby eavesdropping can be done over the air interface for data and signaling. Sections 5.3.2 & 5.5.1 of [2]"
T1600.501,Radio interface,Alteration of gNB configuration for AS encryption to enable NULL algorithms,Adversary intentionally configures NULL encryption and integrity protection algorithm to have highest priority in gNB. Sections 6.7.3 & D.1 of [2]
T1600.501,Radio interface,"Compromised source AMF sends incorrect UE context information to legitimate target AMF during
Initial registration & roaming or
Handover (N2 based)","Source AMF sends null encryption and integrity protection algorithm information as part of the “UEContextTransfer” (initial registration & roaming) or “CreateUEContext” (N2 handover) service request messages. All UE data will be sent in clear text after registration or handover is completed. Sections 4.2.2.2.2, 4.9.1.3.1 & 5.2.2.1 of [3] The element in the UE context is the ueSecurityCapability which the rogue AMF sets to NULL only."
T1600.501,Radio interface,Compromised source MME/AMF sends incorrect UE context information to legitimate target AMF during EPS to 5GS handover and roaming with and without N26 interface,"Source AMF sends NULL encryption and integrity protection algorithm information as part of the “UEContextTransfer” or 
“RelocateUEContext” service request messages. All UE data will be sent in clear text after roaming or handover is completed. Sections 4.11.1.2.2.2, 4.11.1.3.3, 4.11.2.3 & 5.2.2.1 of [3] The element in the UE context is the ueSecurityCapability which the rogue AMF sets to NULL only."
T1437,Control plane signaling disguise for C2,Third party app (AF)- NEF - UDM as a data exfiltration channel,"The signaling AF to NEF to UDM and back from UDM to NEF to AF is used in several procedures. Example: NIDD (non-IP data delivery) (see section 4.25 of 3GPP TS 23.502), or VN (Virtual Network) group management  (see section 4.15.6 of 3GPP TS 23.502)."
FGT5015,Device database manipulation,EIR database compromise,"Reference [1], DC-003, calls for the MNOs to employ an EIR. The rest of the attack is theoretical.
The AMF is the only function that checks the EIR based on permanent equipment id (PEI) using the API N5g-eir_EquipmentIdentityCheck_Get."
FGT5033,Retrieve UE subscription data,AMF can ask the UDM via the Nudm_sdm API to retrieve subscription data for a given SUPI.,"AMF can extract subscription data (including NSSAIs) for any given UE SUPI by asking the UDM (uses Nudm_SDM_Get service  (SDM=SubscriberDataManagement)). The UDM does not check that that AMF is the one serving the UE, i.e. the AMF does not need to register itself first as serving the UE, via the Nudm_UECM_Registration Request. Table 5.2.3.1-1 of [1]"
