FGMID,Mitigation Name,Mitigation Description,where is it found?
FGM1499,Secure file transfer,Securely transfer sensitive files between two end points,
FGM1502,Increase RACH (Random Access CHannel resources),"Increase RACH resources on the gNB (bandwith, time slots)",
FGM1505,Proxy home network,"When the subscriber affiliation is reflected in the home network identifier (part of subscriber identifier), and would benefit from not being sent in the clear, the subscriber's provider (home network) should be a proxy mobile network operator - whose identifier does not reveal the true affiliation of the subscriber.",
FGM1506,Periodic authentication and authorization of NFs,Perform periodic authentication and authorization of consumer NFs by NRF,
FGM1557,Integrity protection of data communication,Use strong data integrity protection algorithms.,
FGM5001,Disable malicious transmitter,Disable or remove an RF transmitter,
FGM5002,Discard RAN signaling received without integrity protection,"User Equipment (UE) can reject e.g. RRC signaling such as RRC Release with Redirect info, if not integrity protected.",
FGM5003,Cross check between application layer and transport layer,NFs such as NRF should cross check with TLS layer before issuing token to an NF,
FGM5004,Correctly configure SS7 firewall,"Employ a SMS Router that intercepts incoming location queries (from other operators), configured so that it can't be subverted.",
FGM5005,Physical and environmental protection,"Physical protection of: communications centers, Telecommunications equipment room, Physically isolated operation areas, Equipment sited in other carrier's or partner's premises, cable/fibers, junction boxes, ",
FGM5006,Restrictive user profile,This profile does not allow bidding down to 4G,
FGM5007,Unlimited data plan,Subscription that includes unlimited data can prevent DoS due to exhausion of data plan limits,
FGM5008,Monitor installed applications for data usage,"On the UE, monitor installed applications for data usage and perform throttling if necessary",
FGM5009,Non-Persistent Information,Information is refreshed to a known trusted state and deleted when no longer needed.,
FGM5010,Non-Persistent Services,Services are refreshed periodically and/or terminated after completion of a request.,
FGM5011,Non-Persistent Connectivity,Connections are terminated after completion of a request or after a period of non-use.,
FGM5012,Slice ID check,Check if IMSI is served by the slice ID (NSSAI),
FGM5013,Timely updates to UE status,UDM/UDR should correctly implement UE authentication/registration status updates.,
FGM5014,UE location plausibility,UDM can check whether a requesting AMF is likely to be the one serving that UE.,
FGM5019,Authorize external API calls,NEF should authorize API calls especially from external AFs for service accesses,
FGM5020,Secure subscriber repositories,Including EIR Equipment Identity Register,
FGM5033,Zero Trust,Use zero trust principles for application/NF protection,
FGM5088,Separate repositories for development and production,Separate repositositories must be maintained for development and production software to avoid access and image slipovers,
FGM5089,Verify image in deployment,Use image name and hash to verify image during deployment,
FGM5090,Log correlation,Correlate logs between SDN controllers and network elements,
FGM5091,Mutual authentication,"Enforce mutual authentication between SDN controller, network elements, SDN controller and SDN application",
FGM5092,Warn user,UE warn user of lower security network. ,
FGM5093,SUCI freshness parameter,UDM/SIDF checks if SUCI freshness parameter from the same UE (with same SUPI) is identical during SUCI deconcealment within a short period of time,
FGM5094,Allocate new 5G identifiers judiciously,Network (AMF) should allocate new 5G-GUTI whenever possible; UPF/and gBN should allocate unique Tunnel IDs.SMF should check newly allocated charging IDs.,
FGM5095,TLS certificate check,Verify if the TLS certificate is valid for the endpoint,
FGM5096,Disable UE location use,Disable usage of location on UE device,
FGM5097,Disable acceptance of a less secure system,Restrict UE to bid down (from 5G) or use of less secure system,
FGM5098,Reduce UE usage,Use UE only when needed. Turn power off when not in use.,
FGM5099,Move UE close to gNB,Move UE close to gNB or indoors to make geo-location harder,
FGM5100,Raise height of UE,"Raising the height of the UE may move it outside another RF source, e.g. jammer",
FGM5101,Isolate CDR database,Isolate CDR databases from the rest of the IT systems/NOC resources,
FGM5498,Limit incoming signaling traffic,Use a firewall or other rate limiter for signaling traffic coming into 5G network,
FGM5499,Rate limiting by producer NF,Producer NF e.g. AUSF can rate limit authentication requests from the same SUCI/SUPI too many times in a short period. Or NRF not respond to requests after a given number of failed NSSAI lookups,
FGM5500,Restrict access to operator OA&M resources,E.g. restrict access to IR.21 database,
FGM5501,TLS proxy/firewalls with DPI on the SBA,Operator should deploy TLS proxies or firewalls on the SBA that can inspect packets to detect anomalies,
FGM5503,Increase control of home network for user plane,Examples: employ home routing vs. local bypass.,
