T1498.502,Shared Slice Resource exhaustion,Audit Policy Violations,Automated user and resource policy compliance checks and instrumentation to alert on violation attempts
T1498.502,Shared Slice Resource exhaustion,Audit logs,"Auditing logs for security, authentication and authorization activity, host access, hosts, virtualization orchestrator and managers can reveal behavioral anomalies"
T1498.502,Shared Slice Resource exhaustion,DS0013,"Monitor systems performance and alert on quota exceptions on hosts, applications and networks"
FGT5018.002,Radio access hardware,DS0040,"Event logs recording user activities, exceptions, faults and information security events should be produced, kept and regularly reviewed. Additional considerations: development of use-case specific alert rules, integration and correlation of data at all levels (network, application), integration and correlation with service provider-level monitoring mechanisms."
FGT5006.002,DNS Encapsulation,DS0029,"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)"
FGT5025,Falsify interconnect invoice,FGDS5006,Usage data analysis via AI/ML
FGT5025,Falsify interconnect invoice,FGDS5011,Cross-check with subscriber services (if subscriber complains)
T1020.001,Network traffic duplication,,"Monitor network traffic for new traffic flows, analyze socket connections and protocol used to determine abnormal behavior."
FGT5020,Retrieve UE subscription data,DS0015,Monitor logs
T1499.503,DOS a UE via gNB or NF signaling,FGDS5011,Subscriber notifies provider of no or degraded service
T1018,Core-network scanning,DS0029,SIEM tools using network firewalls. Detect port scanners
T1040,Network Elements,DS0015,Monitor for allowed modifications relative to the agreed upon modifications per roaming agreements and agreements with IPX.
T1040,Network Elements,DS0009,Monitor processes which may sniff data.
T1040,Network Elements,DS0017,Monitor commands given to NFs which may help data sniffing.
T1195,Supply Chain Compromise,DS0022,Use verification of distributed binaries through hash checking or other integrity checking mechanisms. Scan downloads for malicious signatures and attempt to test software and updates prior to deployment while taking note of potential suspicious activity.
T1195,Supply Chain Compromise,DS0013,Perform physical inspection of hardware to look for potential tampering. Perform integrity checking on pre-OS boot mechanisms that can be manipulated for malicious purposes and compare against known good baseline behavior.
T1499.501,Consume data allocation to deny or degrade service,FGDS5006,Excessive data usage reported by UE or service provider.
FGT5004.001,Controller,FGDS5014,Analyze logs to detect unauthorized activity
FGT5004.001,Controller,DS0015,Periodically audit SDN and Network element configuration to detect unauthorized changes
FGT5004.001,Controller,DS0029,Periodically audit network flow tables to detect unauthorized changes to flow data
T1439,Lawful Intercept Abuse,DS0022,"File access, creation, deletion, modification, meta data"
T1439,Lawful Intercept Abuse,DS0029,"Network traffic monitoring for connection creation, traffic flows and network traffic contents"
T1439,Lawful Intercept Abuse,DS0002,"Restrict User accounts to establish connections to AMDF from known legal entities (IP addresses, certificates, logon credentials etc.).  Monitor and block attempted violations."
T1048.003,DNS Queries,DS0015,Collect and analyze DNS lookup logs for unusual patterns and destinations
T1048.003,DNS Queries,DS0029,Analyze network destinations for DNS traffic for unusual destinations and volumes.
T1557.502,Roaming and Interconnection,DS0015,Monitor for access to SEPP application/appliance for unexpected access.
T1557.502,Roaming and Interconnection,DS0029,Analyze network traffic to/from SEPP to determine if from unexpected source/dest and consistent with expected traffic from other operators.
FGT5016,Abuse of Inter-operator Interfaces,DS0015,Monitor for use of IE modification by IPX and respond when unexpected IE modifications are seen.
T1046,Core-network scanning,DS0029,SIEM tools using network firewalls. Detect port scanners
T1072,5G Orchestration and Deployment Tools,DS0015,Often these third-party applications will have logs of their own that can be collected and correlated with other data from the environment. Ensure that third-party application logs are on-boarded to the enterprise logging system and the logs are regularly reviewed. Audit software deployment logs and look for suspicious or unauthorized activity. A system not typically used to push software to clients that suddenly is used for such a task outside of a known admin function may be suspicious. Monitor account login activity on these applications to detect suspicious/abnormal usage. Perform application deployment at regular times so that irregular deployment activity stands out.
T1072,5G Orchestration and Deployment Tools,DS0009,"Monitor for newly executed processes that does not correlate to known good software. Analyze the process execution trees, historical activities from the third-party application (such as what types of files are usually pushed), and the resulting activities or events from the file/binary/script pushed to systems."
T1525,Compromised image,FGDS5012,Analyze logs and other CI/CD events to detect unauthorized activity
T1525,Compromised image,FGDS5015,An automated image hash verification should be performed
T1600.501,Radio interface,DS0029,Inspect radio traffic and watch for unauthorized changes as the packets move through the interfaces.
T1600.501,Radio interface,DS0015,"Check configuration changes in gNB, SMF, AMF; Configuration audits by OSS/BSS."
FGT5014,Shared resource discovery,DS0015,"Audit application logs (NFVO, VIM).  Configuration management databases (CMDB) and other asset management systems may help with the detection of computer systems or network devices that should not exist on a network."
FGT5014,Shared resource discovery,DS0032,"Monitor container creation, container start events"
FGT5014,Shared resource discovery,DS0014,Monitor POD creation and modification events.
FGT5014,Shared resource discovery,DS0017,Monitor command history on VNFs and hosts
FGT5004.002,vSwitch,FGDS5014,Analyze logs to detect unauthorized activity
FGT5004.002,vSwitch,DS0015,Periodically audit SDN and Network element configuration and compare with baseline configuration to detect unauthorized changes
FGT5004.002,vSwitch,DS0029,Periodically audit network flow tables to detect unauthorized changes to flow data
T1611,VM and Container Breakout,DS0009,Monitor process creation and OS API execution activity.
T1611,VM and Container Breakout,DS0032,"Monitor for the deployment of suspicious or unknown container images and pods in your environment, particularly containers running as root."
T1611,VM and Container Breakout,DS0034,Monitor cluster-level (Kubernetes) data and events associated with changing containers' volume configurations.
T1557.503,Non-SBI,DS0029,Inspect Network traffic content and watch for unauthorized changes as the packets move through the routers/middle boxes
T1557.503,Non-SBI,DS0015,Check configuration changes in all switches/routers. Configuration audits by OSS/BSS
