FGT5019.004,Intercept Unencrypted SUPI,Ability to receive SUCI over the air,Attacker requires sufficient signal to interference and noise ratio
FGT5018.002,Radio access hardware,Improper physical security of radio access hardware,"Despite the virtualized structure of the 5G network and all involved network functions, there will be a strong dependency on the physical infrastructure, especially in the initial migration/hybrid 5G deployments."
FGT5006.002,DNS Encapsulation,Unauthenticated DNS Services,The end user must not have the capability to validate whether it is communicating with a malicious DNS or a valid one.
FGT5016,_Abuse_of_Inter-operator_Interfaces,IPX key compromise,Adversary will need to compromise keys used to sign IE modifications at IPX
FGT5016,_Abuse_of_Inter-operator_Interfaces,Compromise of initiating SEPP,"Compromise of the initiating SEPP, typically the VPLMN SEPP, would permit an adversary to establish a protection policy that would allow IPX modification."
FGT5020,Retrieve UE subscription data,SUPI or GPSI,Adversary must know the SUPI or GPSI of victim UE
T1499.503,DOS a UE via gNB or NF signaling,Compromise gNB or NF,Adversary needs access to a fake or compromised gNB or a compromised NF.
T1018,Core-network scanning,Access to scanning tool,Adversaries need access to such tools.
T1499.501,Consume data allocation to deny or degrade service,A malicious app or set of apps have to have been installed on the UE,There are several methods to achieve this
FGT5004.001,Controller,Credential and Access to SDN Controller,Privileged Access to SDN controller via direct login or through SDN control plane APIs
FGT5030,_DoS_Attack_on_IAB_Deployment,Adversary in the same vicinity as victim gNB,Adversary must be positioned in the same area as the victim gNB with a wireless sniffer device and a jamming device equipped with sufficient transmit power.
T1048.003,DNS Queries,External DNS Resolution,Operator environment must permit DNS queries either directly or recursively for domains the operator doesn’t directly control.
T1557.502,Roaming and Interconnection,SEPP control,Adversary would need to be in control of the vSEPP which may be managed by a VAS
T1046,Core-network scanning,Access to scanning tool,Adversaries need access to such tools.
T1525,Compromised image,Credential and Access to repository and or image creation tools (i.e. Docker),"An image can be manipulated, or a new image can be introduced to have same impact.  Privileged Access to tool or repo is required."
T1600.501,Radio interface,Rogue or misconfigured AMF or SMF or gNB,"A rogue gNB may be required to change the UE’s CP and UP supported algorithms to NULL. It’s easier to achieve control over a gNB than over the AMF or SMF itself. But then if the AMF and SMF are not rogue just not configured to do these additional checks, then control over a rogue gNB is sufficient.
This attack is possible with only control over the AMF, in which case the algorithm for CP and UP protection is changed to NULL."
FGT5004.002,vSwitch,Credential and Access to SDN vSwitch,Privileged Access to SDN vSwitch via direct login or through SDN control plane APIs
FGT5012.004,Core network function signaling,Access to SS7 network,Adversary may pretend to be an operator supporting only earlier generations.
FGT5012.004,Core network function signaling,Access to operator’s network function,Adversary has to gain control of one core NF.
FGT5012.004,Core network function signaling,Knowledge of the UE SUPI or GPSI 5G-GUTI of target UE,UE identifier required for all Core network function abuse.
T1557.503,Non-SBI,Compromised or misconfigured switches/routers or gNB,"Malware or wrong configuration in switches/routers between RAN and core, between gNBs, in gNB itself, in SMF or UPF."
FGT5012.006,NAS exploit,Control of fake gNB in the area where the victim UE may be located.,Adversary must install a fake gNB that it can control what messages it sends to UEs.
FGT5012.006,NAS exploit,Control of fake UE  in the NAS SMC attack.,Adversary must acquire a fake UE to achieve the NAS SMC attack.
FGT5026,SIM cloning,Access to USIM card,Adversary needs physical access to USIM card during manufacturing of USIMs or during transport to MNOs and the cloned USIM card needs to be activated by the MNO.
T1499,Interworking Denial of Service,API vulnerability,"Adversary may need to identify vulnerabilities in the API to obtain initial-access, unauthorized information, or perform a denial of service"
T1499,Interworking Denial of Service,API credentials,Adversary may need to obtain credentials to collect unauthorized information
