FGT5018.002,Radio access hardware,Physical sabotage/vandalism of the network infrastructure,"Classified as a deliberate physical attack, this threat relates to actions taken by actors aimed at destroying, disabling or stealing physical assets supporting the 5G Network. A physical attack to 5G critical assets may disrupt, interfere and ultimately cause unavailability of the network service. Despite the existence of physical protection mechanisms (e.g., physical surveillance and surveillance cameras, security locks, security guards), physical breaches and insider threat attacks may still occur."
FGT5006.002,DNS Encapsulation,Free fake DNS loophole,"Operators do not enforce free DNS service via the standard five-tuple flow ID (src IP, dest IP, src port, dest port, protocol). Instead, they use only the destination port (or plus protocol ID), thus exposing a vulnerability."
FGT5025,Falsify interconnect invoice,False charging,"Signaling fraud may be undertaken by a partner operator, via false charging over international signaling interconnection. In [1] section 5.3. Reference [2] mentions service fraud."
FGT5020,Retrieve UE subscription data,AMF retrieves subscription data from UDM.,"An AMF can extract subscription data (including NSSAIs) for any given UE SUPI by asking the UDM (uses Nudm_SDM_Get service  (SDM=SubscriberDataManagement)). The UDM does not check that that AMF is the one serving the UE, i.e. the AMF does not need to register itself first as serving the UE, via the Nudm_UECM_Registration Request. Table 5.2.3.1-1 of [1]"
FGT5020,Retrieve UE subscription data,AMF in visited PLMN retrieves UE information during 5GS to EPC roaming.,"A rogue AMF in visited PLMN can retrieve the UE’s sensitive information during 5GS to EPC roaming.. AMF calls Nsmf_PDUSession_ContextRequest API to v/hSMF. SMF sends the UE SM context in response which can reveal the following UE information: SUPI, S-NSSAI, DNN, UE IP address etc. Section 4.11.1.2.1 & Table 5.2.8.2.10-1 of [1]"
FGT5020,Retrieve UE subscription data,SMF retrieves subscription data from UDM,"The SMF can send to UDM a Nudm-sdm message and retrieve “Session mgmt subscription data”, i.e. DNN configuration for all network slices."
FGT5020,Retrieve UE subscription data,UDM can look up any UE (in UDR if one is employed).,The UDM can legitimately get UE subscription data from UDR.
FGT5020,Retrieve UE subscription data,SMSF retrieves UE subscription data from UDM,The SMSF can get the UE subscription data via Nudm_sdm API.
FGT5020,Retrieve UE subscription data,NEF retrieves some of the UE subscription data from UDM.,The NEF can get the UE subscription data via Nudm_sdm API.
T1499.503,DOS a UE via gNB or NF signaling,DOS via gNB control (or fake UE),"Adversary with a fake UE can send a De-registration request to the victim UE's gNB with the victim 5G-GUTI. Or , adversary with a fake gNB can send  Deregistration request to the victim UE. 
After the victim UE is either actively or passive bid down to less secure protocol, an adversary with a fake base station denies service by (1) issuing registration reject messages or other orders to deny radio access, or (2) posing as a legitimate base station, but not relaying traffic to or from the intended recipient.
Or, adversary with fake UE can try to register as the victim UE, and when the victim UE tries to RRC connect again, it will be rejected. See [2]"
T1499.503,DOS a UE via gNB or NF signaling,DOS via AMF control,"Adversary controlling AMF can cause authentication to fail or deny SMS service by deactivating SMS for a given SUPI [1]. Control of AMF can give an adversary the power to manipulate the AKA procedure between the AMF and any other UE, so that (at the simplest) the UE fails authentication and cannot get services.
Rogue or misconfigured NF modifies the registration accept message for legitimate subscribers to deny access to some or all services that are configured in their profile."
T1499.503,DOS a UE via gNB or NF signaling,DOS via SEAF control,Adversary controlling SEAF may change the parameters exchanged back to the home network
T1499.503,DOS a UE via gNB or NF signaling,DOS via SMF control,Adversary controlling SMF can release an existing PDU session or not create a new one; or send a  N4 Session Release request to UPF
T1499.503,DOS a UE via gNB or NF signaling,DOS via UPF control,"Adversary controlling UPF can send a report of PDU session inactivity, which results in de-activating the UE session. Or alter secondary authentication between DN AAA and SMF so it fails"
T1499.503,DOS a UE via gNB or NF signaling,DOS via AUSF control,Adversary controlling AUSF: produce incorrect AKA parameters or change data out of UDM
T1499.503,DOS a UE via gNB or NF signaling,DOS via UDM control,"Adversary controlling UDM: fail the SUPI de-concealing operation, UE key will be different and NAS SMC will fail (e.g., responding to SUCI deconcealment with an incorrect SUPI). See [3]."
T1499.503,DOS a UE via gNB or NF signaling,DOS via ARPF control,"Adversary controlling ARPF can
Alter the root key (K) or provide wrong root key for the UE
Generate wrong authentication vector (AV) during UE authentication procedure using EAP-AKA’ or 5G AKA.
Both will result in authentication failure for the UE.  [Section 6.1.3 of [4]]"
T1499.503,DOS a UE via gNB or NF signaling,DOS via UDR control,"Adversary controlling UDR may give UDM incorrect security parameters, or remove UE authentication status."
T1499.503,DOS a UE via gNB or NF signaling,DOS via PCF control,Adversary controlling PCF may return a very restrictive policy for that UE.
T1499.503,DOS a UE via gNB or NF signaling,DOS via NSSF and NSSAAF control,Adversary controlling NSSF and NSSAAF may deny UE access to a slice by mishandling NSSAI (saying it's unavailable) or altering authentication params so that authentication procedure fails.
T1499.503,DOS a UE via gNB or NF signaling,DOS via CHF control,Adversary controlling CHF may send a message to SMF to start PDU session release.
T1499.503,DOS a UE via gNB or NF signaling,DOS via SMSF control,Adversary controlling SMSF may achieve DOS only on SMS for a given UE.
T1499.503,DOS a UE via gNB or NF signaling,DOS via 5G EIR control,Adversary controlling 5G EIR can mark UE as stolen.
T1499.503,DOS a UE via gNB or NF signaling,DOS via Home PLMN or visited PLMN SEPP,Adversary controlling home PLMN SEPP or visited PLMN SEPP can alter or discard registration request/response message and/or other signaling messages to deny access for a UE.
T1018,Core-network scanning,Use of pen testing tools.,"Adversaries may employ pen testing tools such as GTScan, SigPloit, SCTPScan and GTPScan."
