FGT5019.004,Intercept Unencrypted SUPI,Target association,"When UE identity is obtained, it allows attacker to launch other attacks such as geolocation tracking, degradation of service, loss of traffic confidentiality, or physical attack."
FGT5018.002,Radio access hardware,Service unavailability,Destruction or damage of these assets may cause unavailability of resources
FGT5018.002,Radio access hardware,Information destruction,Destruction or damage of these assets may cause information destruction
T1599,Compromise Network Isolation,Unusual network traffic flows,"If network boundaries are breached, monitoring system may detect unusual network flow"
T1599,Compromise Network Isolation,Network mapping activity,Adversary may attempt to discover networks and live hosts on the networks
T1599,Compromise Network Isolation,Connection attempts from unusual hosts,Adversary may attempt connect to hosts in the target network after profiling hosts and network mapping.
T1018,Core-network scanning,Identifier of some network nodes is known,"Adversary now knows identifiers of some network nodes, and so these nodes can now be spoofed or targeted for Denial of Service."
T1499.501,Consume data allocation to deny or degrade service,Degraded communication of legitimate UEs.,Sustained degraded communication of legitimate UEs until additional data is purchased.
FGT5004.001,Controller,Network flow compromise,"Network flow compromise can lead to DOS, or change the traffic pattern and paths.  Adversary may change the path for network sniffing or for MiTM activity."
T1565.002,Fronthaul User Plane Data,DoS Attack,Legitimate subscribers are denied access or existing sessions can be terminated.
T1565.002,Fronthaul User Plane Data,Session redirection,Subscriber sessions are redirected to a malicious server.
T1046,Core-network scanning,Identifier of some network nodes revealed,"Adversary now knows identifiers of some network nodes, and so these nodes can now be spoofed or targeted for Denial of Service."
T1525,Compromised image,A Compromised Image is deployed in production,A compromised image deployed in the production can lead to variety of adversarial activities depending on what capabilities were added/deleted from the image.
T1600.501,Radio interface,UE data unprotected on air interface,"Control Plane: All UE signaling data may be revealed if both NAS and AS CP (RRC) security algorithms are weakened.

User Plane: Subscriber (user plane) data may be revealed if AS UP security algorithms are weakened."
FGT5039,Manipulate Virtual Network Function VNF Configuration,Unexpected and unusual VNF behavior,VNF compromise can lead to DOS or change in the traffic pattern and paths.
FGT5004.002,vSwitch,Network flow compromise,Network flow compromise can lead to DOS or change the traffic pattern and paths.  Adversary may change the path for network sniffing or for AiTM activity.
T1557.503,Non-SBI,Both CP and UP data are eavesdropped or modified,Both UE signaling and normal data communication with network will be impacted.
