TempID,Domain,Architecture,Tactics,New FGTID,Technique Name,BLUF
31,Enterprise,"arch-roaming,arch-app layer,supply-chain","initial-access,Collection",T1199.501,MNO Roaming Partners,An adversary may breach or otherwise leverage a mobile network operator's (MNO's) roaming partners or their service partners to gain access to subscriber's services or obtain information about that subscriber from their home network.
61,Enterprise,"impl-virtualization,impl-csp,impl-oa&m,supply-chain",persistence,ADDENDUM TO T1525,Compromised image,An adversary may install a compromised image in the image repository to achieve persistence.
115,5G Implementation,"arch-control plane,arch-roaming",defense-evasion,FGT5002,Bypass home routing,"A adversary positioned in an operator network may send an SMS delivery location query that will bypass the SMS home router of another operator, and which will allow to get the location of the user device."
117,5G Implementation,arch-ran,defense-evasion,T1562.501,Bid down UE,An adversary may employ a false base station to bid down (downgrade) the victim UE to a less secure Radio Access Network in order to exploit vulnerabilities in that network.
163,5G Implementation,impl-oa&m,reconnaissance,T1592.501,Internal resource search,"An adversary may gain access to an operator's roaming database (IR.21), which can reveal the critical network assets of both the operator and its roaming partners."
165,5G Implementation,"arch-control plane,arch-slice",discovery,FGT5003,Network Function Service Discovery,An adversary may query the Network Repository Function (NRF) to discover restricted   Network Function (NF) services to further target that NF.
166,5G Implementation,impl-virtualization,"collection,discovery",FGT5004,Network Flow Manipulation,"An adversary may discover Software Defined Network (SDN) flow information, which could then open opportunity for lateral movement and unauthorized changes in the network."
166,5G Implementation,impl-virtualization,"collection,discovery",FGT5004.001,Controller ,"An adversary may use the compromised SDN controller or Control plane API to modify network flow rules, or traffic management policies."
166,5G Implementation,impl-virtualization,"collection,discovery",FGT5004.002,vSwitch,An adversary may compromise a vSwitch in an SDN network to manipulate the network traffic  or cause denial of service
177,5G Implementation,"arch-oa&m,impl-virtualization",defense-evasion,FGT5039,Manipulate Virtual Network Function (VNF) Configuration,Adversaries may bridge network boundaries by modifying a network device's Virtual Network Function Configuration.
178,Enterprise,"impl-virtualization,impl-oa&m","lateral-movement, privilege escalation",ADDENDUM TO T1611,VM and Container Breakout,Adversary may be able to break out of VM/Container to host to compromise co-resident tenant VM/Container for discovery and exfiltration and host-based privilege escalation.  
202,5G Implementation,impl-virtualization,collection,FGT5005,Memory Scraping,"An adversary may be able to read memory registers to discover privileged information such as local password comparison, encryption key etc."
223,Enterprise,"arch-control plane, arch-roaming",command-and-control,T1071.502,Telecom Protocols,An adversary may use various telecom protocols for Command and Control (C2) to/from compromised MNO roaming partner network
271,5G Implementation,impl-oa&m,persistence,ADDENDUM TO T1078.003,Infrastructure local account,An adversary may use local administrative privileges to bypass network controls responsible for access controls and software to achieve persistence.  
374,5G Implementation,"impl-virtualization,impl-oa&m",defense-evasion,ADDENDUM TO T1014,Unauthorized software in NFVI,"An adversary may implant rootkits in the Network Function Virtualization Infrastructure (NFVI) that will hide the presence of programs, files, network connections, services, drivers, and other system components."
374,5G Implementation,"impl-virtualization,impl-oa&m","persistence, defense-evasion",T1542.501,Unauthorized software in NFVI,An adversary may implant malware in the Network Function Virtualization Infrastructure (NFVI) that will load during the pre-boot sequence to achieve persistence.
378,5G Implementation,arch-control plane,impact,ADDENDUM TO T1499.002,UDM DOS via SUCI replay,An adversary may use a device (user or base station) to replay registration requests with a valid Subscription Concealed Identifier (SUCI) in order to degrade network availability to other device users.
381,5G Implementation,arch-control plane,execution,FGT5007,Registration of malicious network functions,"An adversary, such as an insider to the MNO or vendor, could install a malicious NF into the core network, in order to launch other attacks or get access to information. "
382,5G Implementation,"arch-ran,arch-ue",impact,ADDENDUM TO T1499.002,Base Station flood with fictitious access requests ,An adversary transmits large number of access requests over random Access CHannel (RACH) to degrade the ability of legitimate UE to obtain access from the gNB. May be done via a compromised UE or a fake UE
410,5G Implementation,"arch-ran,o-ran",impact,FGT5035,Radio Reception Degradation,An adversary transmits radio signals to degrade reception and demodulation of signals to the UE or gNB/eNB.
412,5G Implementation,arch-user plane,"collection,impact",FGT5008,Redirection of Traffic via User Plane Network Function  ,"An adversary may divert user plane traffic for one or more UEs via a user-plane function, to monitor user data."
433,5G Implementation,arch-control plane,collection,FGT5010,Fraudulent AMF registration for UE in UDM,"An adversary-controlled AMF registers itself in the UDM as the serving network for a victim’s UE, enabling further attacks like fraud or the retrieval of the UE’s subscription data."
436,5G Implementation,"arch-control plane,arch-iCAM,arch-ICAM","lateral-movement, initial-access",FGT5011,Unauthorized access to Network Exposure Function (NEF) via token fraud,An adversary controlling an (external) Application Function (AF) presents a fraudulent OAuth access token to access Network Exposure Function (NEF) services. 
438,5G Implementation,"arch-control plane,arch-ran,arch-iCAM","discovery, collection ",FGT5012.003,5G-GUTI reuse,Adversary can track a device (get cell-level location) by listening for the same device ID being sent to the network.
442,5G Implementation,"arch-ran,arch-control plane,arch-user plane",defense-evasion,T1600.501,Radio Interface,"An adversary may alter network signaling so as to disable encryption over the radio interface, thus allowing for eavesdropping of user data or signaling on that interface."
444,5G Implementation,arch-user plane,impact,FGT5021,Tunnel Endpoint ID (TEID) uniqueness failure,An adversary controlling a user-plane function (gNB or UPF) disrupts user traffic by assigning the new traffic a TEID already in use.
