FGSID,Software Name,Software Description,Procedure ,Proposed TTPs 
FGS5001,PingPong,PingPong listens for inbound magic ICMP echo requests and establishes a TCP reverse shell connection to an IP address and port specified at certain offsets within the packet.,"The PingPong implant was used by threat actors LIGHTBASIN and LIMINAL PANDA to listen for a special ""magic"" ICMP echo request, and upon receiving it, establishes a TCP reverse shell to a specified IP address and port within the packet. The shell spawns a /bin/bash process, which masquerades as the legitimate httpd process to avoid detection. The reverse shell typically communicates with a remote server owned by another compromised telecommunications provider, using TCP port 53 (DNS) to disguise the malicious traffic as legitimate DNS communication.","&T1205 Traffic Signaling,

T1562.004 External DNS Service

T1036.502 Port Number"
FGS5002,ProxyChains,"This utility is capable of chaining proxies together and forcing network traffic through said chain of proxies, even if the program generating the traffic does not have proxy support. It utilizes a configuration file to specify proxies in use.",ProxyChains was used by Liminal Panda to force network traffic through a chain of proxies belonging to different telecommunication organizations around the world. ,& FGT1090.003 Multi-hop Proxy
FGS5003,Fast Reverse Proxy," This utility is a reverse proxy used that permits C2 access to an actor-controlled servers (e.g., DNS). ","Fast Reverse Proxy was used by threat actor, Liminal Panda, to pivot to systems externally.",& FGT1090.002 External Proxy 
FGS5004,Microsocks Proxy ,This utility is a lightweight SOCKS5 proxy server used to pivot to systems internally.,Microsocks Proxy was used by LIMINAL PANDA to pivot to systems internally.,& FGT1090.001 Internal Proxy 
FGS5005,SIGTRANslator,"SIGTRANslator is a Linux ELF binary capable of sending and receiving data via various SS7 over IP protocols, which are used to carry public switched telephone network (PSTN) signaling over IP networks. This signaling data includes valuable metadata such as telephone numbers called by a specific mobile station. Data transmitted to and from SIGTRANslator via these protocols is also sent to a remote C2 host that connects to a port opened by the binary. This allows the remote C2 server to siphon data flowing through the binary and send data to SIGTRANslator from the C2 to be re-sent via a SIGTRAN protocol.","This executable provided LIMINAL PANDA with the ability to transmit data in telecommunication-specific protocols, while monitoring the data being transmitted. SIGTRANslator is a Linux ELF binary capable of sending and receiving data via various SIGTRAN protocols, which are used to carry public switched telephone network (PSTN) signaling over IP networks","T1071.501 Telecom Protocol

T1041 Telco Protocol

T1564.501 Command Output Filtering"
FGS5006,TINYSHELL,"TINYSHELL is a lightweight client/server clone of the standard remote shell tools (rlogin, DNS, telnet, ssh, etc.) that can act as a backdoor to provide remote shell execution as well as file transfers.","LIMINAL PANDA configured remotely accessible systems with TINYSHELL backdoors that used dynamic DNS domains for their external C2 channel. TINYSHELL backdoors were configured to perform communications using TCP over port 53 and 443, likely as a mechanism to bypass outbound network protections, blend in with existing traffic, and evade detection.","T1059 Command and Scripting Interpreter,

T1071.004 Roaming Partner DNS"
FGS5007,STEELCORGI,STEELCORGI is a packer for Linux ELF programs that uses key material from the executing environment to decrypt the payload.. The malware uses the environment variable values as a key to decrypt additional data to be executed.,"To further obfuscate activity, LIMINAL PANDA used a Linux ELF packer named STEELCORGI which was executed in memory on a Solaris system. The malware contains various anti-analysis techniques, including anti-debugging, anti-tracing, and string obfuscation.","T1027.010 Obfuscated Files or Information
T1027.013 Obfuscated Files or Information: Encrypted/Encoded File"
FGS5008,Ghost Spider,"GHOSTSPIDER is a sophisticated multi-modular backdoor designed with several layers to load different modules based on specific purposes. This backdoor communicates with its C&C server using a custom protocol protected by Transport Layer Security (TLS), ensuring secure communication.",Salt Typhoon proceeds by deploying GhostSpider to ensure stealth through its expansive module command support and other backdoors,"& T1059 Command and Scripting Interpreter
&T1036 Masquerading"
FGS5009,NinjaCopy,"NinjaCopy is a PowerShell script capable of reading SYSTEM files that were normally locked, such as NTDS.dit or sensitive registry locations. ",Salt Typhoon employed a new variant of the NinjaCopy tool to bypass security mechanisms and extract sensitive system files.,&T1006 Direct Volume Access
FGS5010,TrillClient ,TrillClient is a custom stealers for harvesting credentials and browser data.,"Salt Typhoon employs the TrillClient information stealer for this routine, primarily collecting user credentials from browser user profiles. TrillClient launches a PowerShelll script that will collect user profiles to be saved at a specific location.",T1555.003 Credentials from Password Stores: Credentials from Web Browsers
